unit,price,sqft,bdrms
CH,54.6,1050,2
DF,46.83,669,2
DP,58.86,1090,3
DS,45.92,656,2
EF,54.32,1006,2
EJ,53.62,993,2
EN,46.49,861,2
FG,119.00,1653,3
HF,46.17,888,2
HG,96.84,1345,3
IC,110.00,1540,3
IF,116.00,1618,3
IU,62.4,1200,3
JC,45.92,656,2
KA,96.84,1345,2
KB,46.83,669,2
KE,116.00,1618,3
LL,40.87,757,2
LD,45.19,837,2
LW,45.92,656,2
MM,98.28,1365,3
OP,80.78,1122,2
PE,98.28,1365,3
PO,43.41,804,2
RT,52.98,1019,2
SA,119.00,1653,3
SL,116.00,1618,3
TK,98.28,1365,3
UC,110.00,1540,3
WE,43.26,618,1
ND,52.05,1001,2
WL,43.26,618,1
WU,110.00,1540,3
