state,crimes_per_1000,murder,pctmetro,pctwhite,pcths,pct_poverty_rate,pct_single_parents
AK,7.61,9,41.79999924,75.19999695,86.59999847,9.100000381,14.30000019
AL,7.8,11.60000038,67.40000153,73.5,66.90000153,17.39999962,11.5
AR,5.93,10.19999981,44.70000076,82.90000153,66.30000305,20,10.69999981
AZ,7.15,8.600000381,84.69999695,88.59999847,78.69999695,15.39999962,12.10000038
CA,10.78,13.10000038,96.69999695,79.30000305,76.19999695,18.20000076,12.5
CO,5.67,5.800000191,81.80000305,92.5,84.40000153,9.899999619,12.10000038
CT,4.56,6.300000191,95.69999695,89,79.19999695,8.5,10.10000038
DE,6.86,5,82.69999695,79.40000153,77.5,10.19999981,11.39999962
FL,12.06,8.899999619,93,83.5,74.40000153,17.79999924,10.60000038
GA,7.23,11.39999962,67.69999695,70.80000305,70.90000153,13.5,13
HI,2.61,3.799999952,74.69999695,40.90000153,80.09999847,8,9.100000381
IA,3.26,2.299999952,43.79999924,96.59999847,80.09999847,10.30000019,9
ID,2.82,2.900000095,30,96.69999695,79.69999695,13.10000038,9.5
IL,9.6,11.39999962,84,81,76.19999695,13.60000038,11.5
IN,4.89,7.5,71.59999847,90.59999847,75.59999847,12.19999981,10.80000019
KS,4.96,6.400000095,54.59999847,90.90000153,81.30000305,13.10000038,9.899999619
KY,4.63,6.599999905,48.5,91.80000305,64.59999847,20.39999962,10.60000038
LA,10.62,20.29999924,75,66.69999695,68.30000305,26.39999962,14.89999962
MA,8.05,3.900000095,96.19999695,91.09999847,80,10.69999981,10.89999962
MD,9.98,12.69999981,92.80000305,68.90000153,78.40000153,9.699999809,12
ME,1.26,1.600000024,35.70000076,98.5,78.80000305,10.69999981,10.60000038
MI,7.92,9.800000191,82.69999695,83.09999847,76.80000305,15.39999962,13
MN,3.27,3.400000095,69.30000305,94,82.40000153,11.60000038,9.899999619
MO,7.44,11.30000019,68.30000305,87.59999847,73.90000153,16.10000038,10.89999962
MS,4.34,13.5,30.70000076,63.29999924,64.30000305,24.70000076,14.69999981
MT,1.78,3,24,92.59999847,81,14.89999962,10.80000019
NC,6.79,11.30000019,66.30000305,75.19999695,70,14.39999962,11.10000038
ND,0.82,1.700000048,41.59999847,94.19999695,76.69999695,11.19999981,8.399999619
NE,3.39,3.900000095,50.59999847,94.30000305,81.80000305,10.30000019,9.399999619
NH,1.38,2,59.40000153,98,82.19999695,9.899999619,9.199999809
NJ,6.27,5.300000191,100,80.80000305,76.69999695,10.89999962,9.600000381
NM,9.3,8,56,87.09999847,75.09999847,17.39999962,13.80000019
NV,8.75,10.39999962,84.80000305,86.69999695,78.80000305,9.800000191,12.39999962
NY,10.74,13.30000019,91.69999695,77.19999695,74.80000305,16.39999962,12.69999981
OH,5.04,6,81.30000305,87.5,75.69999695,13,11.39999962
OK,6.35,8.399999619,60.09999847,82.5,74.59999847,19.89999962,11.10000038
OR,5.03,4.599999905,70,93.59999847,81.5,11.80000019,11.30000019
PA,4.18,6.800000191,84.80000305,88.69999695,74.69999695,13.19999981,9.600000381
RI,4.02,3.900000095,93.59999847,92.59999847,72,11.19999981,10.80000019
SC,10.23,10.30000019,69.80000305,68.59999847,68.30000305,18.70000076,12.30000019
SD,2.08,3.400000095,32.59999847,90.19999695,77.09999847,14.19999981,9.399999619
TN,7.66,10.19999981,67.69999695,82.80000305,67.09999847,19.60000038,11.19999981
TX,7.62,11.89999962,83.90000153,85.09999847,72.09999847,17.39999962,11.80000019
UT,3.01,3.099999905,77.5,94.80000305,85.09999847,10.69999981,10
VA,3.72,8.300000191,77.5,77.09999847,75.19999695,9.699999809,10.30000019
VT,1.14,3.599999905,27,98.40000153,80.80000305,10,11
WA,5.15,5.199999809,83,89.40000153,83.80000305,12.10000038,11.69999981
WI,2.64,4.400000095,68.09999847,92.09999847,78.59999847,12.60000038,10.39999962
WV,2.08,6.900000095,41.79999924,96.30000305,66,22.20000076,9.399999619
WY,2.86,3.400000095,29.70000076,95.90000153,83,13.30000019,10.80000019
DC,29.22,78.5,100,31.79999924,73.09999847,26.39999962,22.10000038
